First Name, Last Name, Email, Roles, Password, Phone number, Team
LayTeam1,User4,lay1-4@opgtest.com, "OPG User, Case Manager", Password1, 12345678, "Lay Team 1 - (Supervision)"
LayTeam1,User5,lay1-5@opgtest.com, "OPG User, Case Manager", Password1, 12345678, "Lay Team 1 - (Supervision)"
LayTeam1,User6,lay1-6@opgtest.com, "OPG User, Case Manager", Password1, 12345678, "Lay Team 1 - (Supervision)"
LayTeam1,User7,lay1-7@opgtest.com, "OPG User, Case Manager", Password1, 12345678, "Lay Team 1 - (Supervision)"
LayTeam1,User8,lay1-8@opgtest.com, "OPG User, Case Manager", Password1, 12345678, "Lay Team 1 - (Supervision)"
LayTeam1,User9,lay1-9@opgtest.com, "OPG User, Case Manager", Password1, 12345678, "Lay Team 1 - (Supervision)"
LayTeam1,User10,lay1-10@opgtest.com, "OPG User, Case Manager", Password1, 12345678, "Lay Team 1 - (Supervision)"
LayTeam1,User11,lay1-11@opgtest.com, "OPG User, Case Manager", Password1, 12345678, "Lay Team 1 - (Supervision)"
LayTeam1,User12,lay1-12@opgtest.com, "OPG User, Case Manager", Password1, 12345678, "Lay Team 1 - (Supervision)"
LayTeam1,User13,lay1-13@opgtest.com, "OPG User, Case Manager", Password1, 12345678, "Lay Team 1 - (Supervision)"
LayTeam1,User14,lay1-14@opgtest.com, "OPG User, Case Manager", Password1, 12345678, "Lay Team 1 - (Supervision)"
LayTeam1,User15,lay1-15@opgtest.com, "OPG User, Case Manager", Password1, 12345678, "Lay Team 1 - (Supervision)"
LayTeam1,User16,lay1-16@opgtest.com, "OPG User, Case Manager", Password1, 12345678, "Lay Team 1 - (Supervision)"
LayTeam1,User17,lay1-17@opgtest.com, "OPG User, Case Manager", Password1, 12345678, "Lay Team 1 - (Supervision)"
LayTeam1,User18,lay1-18@opgtest.com, "OPG User, Case Manager", Password1, 12345678, "Lay Team 1 - (Supervision)"
LayTeam1,User19,lay1-19@opgtest.com, "OPG User, Case Manager", Password1, 12345678, "Lay Team 1 - (Supervision)"
LayTeam1,User20,lay1-20@opgtest.com, "OPG User, Case Manager", Password1, 12345678, "Lay Team 1 - (Supervision)"
LayTeam2,User1,lay2@opgtest.com, "OPG User, Case Manager", Password1, 12345678, "Lay Team 2 - (Supervision)"
PATeam1,User1,pa1@opgtest.com, "OPG User, Case Manager", Password1, 12345678, "PA Team 1 - (Supervision)"
PATeam2,User1,pa2@opgtest.com, "OPG User, Case Manager", Password1, 12345678, "PA Team 2 - (Supervision)"
PROTeam1,User1,pro1@opgtest.com, "OPG User, Case Manager", Password1, 12345678, "Pro Team 1 - (Supervision)"
PROTeam2,User1,pro2@opgtest.com, "OPG User, Case Manager", Password1, 12345678, "Pro Team 2 - (Supervision)"
HW1,User1,hw@opgtest.com, "OPG User, Case Manager", Password1, 12345678, "Health & Welfare - (Supervision)"
Visits,User1,visits@opgtest.com, "OPG User, Case Manager", Password1, 12345678, "Visits - (Supervision)"
Finance,User1,finance@opgtest.com, "OPG User, Case Manager, Finance User", Password1, 12345678, "Debt Management - (Supervision)"
Investigations,User1,investigations@opgtest.com, "OPG User, Case Manager", Password1, 12345678, "Investigations - (Supervision)"
Complaints,User1,complaints@opgtest.com, "OPG User, Case Manager", Password1, 12345678, "Complaints - (Supervision)"
CardPayment,User,card.payment.user@opgtest.com, "OPG User, Card Payment User", Password1, 12345678, "Card Payment Team"
FileReturns,User,file.returns.user@opgtest.com, "OPG User, POA User", Password1, 12345678, "File Returns Team"
ReducedFees,User,reduced.fees.user@opgtest.com, "OPG User, POA User", Password1, 12345678, "Reduced Fees Team"
OnlinePayment,User,online.payment.user@opgtest.com, "OPG User, POA User", Password1, 12345678, "Online Payment Team"
